Date,Open,High,Low,Close,Adj Close,Volume
2009-10-22,1052.189941,1065.430054,1040.449951,1063.439941,1063.439941,0
2009-10-23,1063.979980,1067.479980,1044.719971,1048.449951,1048.449951,0
2009-10-26,1050.660034,1066.099976,1038.869995,1043.420044,1043.420044,0
2009-10-27,1041.880005,1046.880005,1019.869995,1024.550049,1024.550049,0
2009-10-28,1019.090027,1025.939941,995.349976,996.820007,996.820007,0
2009-10-29,1009.500000,1024.819946,1009.210022,1022.950012,1022.950012,0
2009-10-30,1017.869995,1020.770020,991.200012,993.729980,993.729980,0
2009-11-02,993.280029,1006.719971,984.619995,997.659973,997.659973,0
2009-11-03,989.539978,999.179993,986.719971,999.159973,999.159973,0
2009-11-04,1003.890015,1016.280029,1001.979980,1003.210022,1003.210022,0
2009-11-05,1016.109985,1031.189941,1013.500000,1026.869995,1026.869995,0
2009-11-06,1017.669983,1032.199951,1016.929993,1029.760010,1029.760010,0
2009-11-09,1037.599976,1057.280029,1037.560059,1056.569946,1056.569946,0
2009-11-10,1055.099976,1061.930054,1049.670044,1055.079956,1055.079956,0
2009-11-11,1062.760010,1071.969971,1055.849976,1062.900024,1062.900024,0
2009-11-12,1063.359985,1070.800049,1051.839966,1053.680054,1053.680054,0
2009-11-13,1058.050049,1067.719971,1053.859985,1065.060059,1065.060059,0
2009-11-16,1069.719971,1084.140015,1068.949951,1080.119995,1080.119995,0
2009-11-17,1076.219971,1083.089966,1072.150024,1083.089966,1083.089966,0
2009-11-18,1077.050049,1077.050049,1062.890015,1069.589966,1069.589966,0
2009-11-19,1058.790039,1059.000000,1040.119995,1048.609985,1048.609985,0
2009-11-20,1038.359985,1041.800049,1033.400024,1037.530029,1037.530029,0
2009-11-23,1049.410034,1061.939941,1049.209961,1055.589966,1055.589966,0
2009-11-24,1054.930054,1056.140015,1045.030029,1051.550049,1051.550049,0
2009-11-25,1053.880005,1057.780029,1052.260010,1056.939941,1056.939941,0
2009-11-27,1025.819946,1045.810059,1025.359985,1038.750000,1038.750000,0
2009-11-30,1035.079956,1040.119995,1026.089966,1037.619995,1037.619995,0
2009-12-01,1048.430054,1061.660034,1048.430054,1057.750000,1057.750000,0
2009-12-02,1059.280029,1071.079956,1058.760010,1064.839966,1064.839966,0
2009-12-03,1067.069946,1073.660034,1060.459961,1061.150024,1061.150024,0
2009-12-04,1078.390015,1086.270020,1062.199951,1077.069946,1077.069946,0
2009-12-07,1078.020020,1087.540039,1074.390015,1078.050049,1078.050049,0
2009-12-08,1071.489990,1079.099976,1060.949951,1072.219971,1072.219971,0
2009-12-09,1069.979980,1081.420044,1063.719971,1080.250000,1080.250000,0
2009-12-10,1085.150024,1089.760010,1081.020020,1081.859985,1081.859985,0
2009-12-11,1087.219971,1088.439941,1070.949951,1075.699951,1075.699951,0
2009-12-14,1083.920044,1090.060059,1078.500000,1089.339966,1089.339966,0
2009-12-15,1085.800049,1095.060059,1083.109985,1085.729980,1085.729980,0
2009-12-16,1091.810059,1107.709961,1091.770020,1102.349976,1102.349976,0
2009-12-17,1096.030029,1100.640015,1087.510010,1088.060059,1088.060059,0
2009-12-18,1096.380005,1105.900024,1093.380005,1105.719971,1105.719971,0
2009-12-21,1111.689941,1122.260010,1111.680054,1119.609985,1119.609985,0
2009-12-22,1121.310059,1127.349976,1120.880005,1124.939941,1124.939941,0
2009-12-23,1129.099976,1135.270020,1126.150024,1134.630005,1134.630005,0
2009-12-24,1136.729980,1148.280029,1136.319946,1148.270020,1148.270020,0
2009-12-28,1149.599976,1154.410034,1139.300049,1145.300049,1145.300049,0
2009-12-29,1144.969971,1145.250000,1137.349976,1139.969971,1139.969971,0
2009-12-30,1140.630005,1149.760010,1139.969971,1149.729980,1149.729980,0
2009-12-31,1150.510010,1152.589966,1137.920044,1137.920044,1137.920044,0
2010-01-04,1152.609985,1160.510010,1152.280029,1156.650024,1156.650024,0
2010-01-05,1157.939941,1160.280029,1149.000000,1157.060059,1157.060059,0
2010-01-06,1156.040039,1161.109985,1148.790039,1151.859985,1151.859985,0
2010-01-07,1147.140015,1149.630005,1138.199951,1142.260010,1142.260010,0
2010-01-08,1139.920044,1155.839966,1138.160034,1154.760010,1154.760010,0
2010-01-11,1159.609985,1161.469971,1143.410034,1150.819946,1150.819946,0
2010-01-12,1144.550049,1145.310059,1124.099976,1130.699951,1130.699951,0
2010-01-13,1140.880005,1153.550049,1127.439941,1149.750000,1149.750000,0
2010-01-14,1146.750000,1153.670044,1144.290039,1151.099976,1151.099976,0
2010-01-15,1150.859985,1153.089966,1125.890015,1130.489990,1130.489990,0
2010-01-19,1131.560059,1146.410034,1131.560059,1145.250000,1145.250000,0
2010-01-20,1134.530029,1136.290039,1115.189941,1129.660034,1129.660034,0
2010-01-21,1135.979980,1147.560059,1117.589966,1123.729980,1123.729980,0
2010-01-22,1118.060059,1119.160034,1078.569946,1080.939941,1080.939941,0
2010-01-25,1088.670044,1096.420044,1081.819946,1087.540039,1087.540039,0
2010-01-26,1084.640015,1099.550049,1078.910034,1086.300049,1086.300049,0
2010-01-27,1085.420044,1097.020020,1076.239990,1094.530029,1094.530029,0
2010-01-28,1091.959961,1093.010010,1056.030029,1065.300049,1065.300049,0
2010-01-29,1071.800049,1073.109985,1030.000000,1035.380005,1035.380005,0
2010-02-01,1041.030029,1057.380005,1040.900024,1057.329956,1057.329956,0
2010-02-02,1056.599976,1069.479980,1050.339966,1066.920044,1066.920044,0
2010-02-03,1057.540039,1072.300049,1057.189941,1070.729980,1070.729980,0
2010-02-04,1059.329956,1060.550049,1035.920044,1035.920044,1035.920044,0
2010-02-05,1040.030029,1052.819946,1028.300049,1051.099976,1051.099976,0
2010-02-08,1049.199951,1060.709961,1041.949951,1046.040039,1046.040039,0
2010-02-09,1059.810059,1067.739990,1047.949951,1059.109985,1059.109985,0
2010-02-10,1061.790039,1068.510010,1052.479980,1061.000000,1061.000000,0
2010-02-11,1060.739990,1082.540039,1053.439941,1079.390015,1079.390015,0
2010-02-12,1067.829956,1084.930054,1061.859985,1080.020020,1080.020020,0
2010-02-16,1088.910034,1099.280029,1083.209961,1098.810059,1098.810059,0
2010-02-17,1104.439941,1104.829956,1095.579956,1103.219971,1103.219971,0
2010-02-18,1099.839966,1111.829956,1094.170044,1110.390015,1110.390015,0
2010-02-19,1107.680054,1116.229980,1104.599976,1111.050049,1111.050049,0
2010-02-22,1115.260010,1115.790039,1104.250000,1106.560059,1106.560059,0
2010-02-23,1104.449951,1104.489990,1082.150024,1087.680054,1087.680054,0
2010-02-24,1096.380005,1109.810059,1096.319946,1103.119995,1103.119995,0
2010-02-25,1086.010010,1102.030029,1077.119995,1100.040039,1100.040039,0
2010-02-26,1099.719971,1104.550049,1092.030029,1102.939941,1102.939941,0
2010-03-01,1108.319946,1129.089966,1108.319946,1128.079956,1128.079956,0
2010-03-02,1132.390015,1137.709961,1124.890015,1127.760010,1127.760010,0
2010-03-03,1130.229980,1132.780029,1119.780029,1122.540039,1122.540039,0
2010-03-04,1123.089966,1125.959961,1114.349976,1125.390015,1125.390015,0
2010-03-05,1131.290039,1143.579956,1126.920044,1141.290039,1141.290039,0
2010-03-08,1142.670044,1147.760010,1142.579956,1144.430054,1144.430054,0
2010-03-09,1142.020020,1155.859985,1141.839966,1148.359985,1148.359985,0
2010-03-10,1148.660034,1162.989990,1148.660034,1161.020020,1161.020020,0
2010-03-11,1156.050049,1160.979980,1150.790039,1160.979980,1160.979980,0
2010-03-12,1163.109985,1163.250000,1154.619995,1159.560059,1159.560059,0
2010-03-15,1157.209961,1160.180054,1148.589966,1156.319946,1156.319946,0
2010-03-16,1159.910034,1170.060059,1156.469971,1168.579956,1168.579956,0
2010-03-17,1170.359985,1180.540039,1170.069946,1173.050049,1173.050049,0
2010-03-18,1173.489990,1176.739990,1167.589966,1173.099976,1173.099976,0
2010-03-19,1172.890015,1175.239990,1156.260010,1160.750000,1160.750000,0
2010-03-22,1155.160034,1180.430054,1154.099976,1177.040039,1177.040039,0
2010-03-23,1179.020020,1192.510010,1177.569946,1191.290039,1191.290039,0
2010-03-24,1186.099976,1188.040039,1179.640015,1180.739990,1180.739990,0
2010-03-25,1192.030029,1195.869995,1176.449951,1176.849976,1176.849976,0
2010-03-26,1181.680054,1183.540039,1166.900024,1173.030029,1173.030029,0
2010-03-29,1176.910034,1182.050049,1173.349976,1176.369995,1176.369995,0
2010-03-30,1176.699951,1182.849976,1167.920044,1178.239990,1178.239990,0
2010-03-31,1173.500000,1181.750000,1169.959961,1172.630005,1172.630005,0
2010-04-01,1178.640015,1189.209961,1163.109985,1172.550049,1172.550049,0
2010-04-05,1177.020020,1192.540039,1174.979980,1191.270020,1191.270020,0
2010-04-06,1185.390015,1199.119995,1182.650024,1195.650024,1195.650024,0
2010-04-07,1193.140015,1197.739990,1184.530029,1190.589966,1190.589966,0
2010-04-08,1186.599976,1190.959961,1176.119995,1188.439941,1188.439941,0
2010-04-09,1190.810059,1202.339966,1187.630005,1202.130005,1202.130005,0
2010-04-12,1202.359985,1210.560059,1199.209961,1205.920044,1205.920044,0
2010-04-13,1205.770020,1212.170044,1199.770020,1210.400024,1210.400024,0
2010-04-14,1223.229980,1239.829956,1223.209961,1238.699951,1238.699951,0
2010-04-15,1236.689941,1247.300049,1235.979980,1243.280029,1243.280029,0
2010-04-16,1236.939941,1238.819946,1216.770020,1226.650024,1226.650024,0
2010-04-19,1222.660034,1226.930054,1204.479980,1220.890015,1220.890015,0
2010-04-20,1229.589966,1237.739990,1223.560059,1236.790039,1236.790039,0
2010-04-21,1240.140015,1244.020020,1223.489990,1234.170044,1234.170044,0
2010-04-22,1221.479980,1247.849976,1211.040039,1246.180054,1246.180054,0
2010-04-23,1243.750000,1254.599976,1238.729980,1254.030029,1254.030029,0
2010-04-26,1253.199951,1258.069946,1246.060059,1249.930054,1249.930054,0
2010-04-27,1243.890015,1250.079956,1217.239990,1219.670044,1219.670044,0
2010-04-28,1226.280029,1230.390015,1212.030029,1224.589966,1224.589966,0
2010-04-29,1230.369995,1240.040039,1225.380005,1238.800049,1238.800049,0
2010-04-30,1235.500000,1236.180054,1205.319946,1205.670044,1205.670044,0
2010-05-03,1211.250000,1230.250000,1211.250000,1226.339966,1226.339966,0
2010-05-04,1209.989990,1209.989990,1173.650024,1184.310059,1184.310059,0
2010-05-05,1175.699951,1188.890015,1166.770020,1175.410034,1175.410034,0
2010-05-06,1170.780029,1182.599976,1069.530029,1139.300049,1139.300049,0
2010-05-07,1130.030029,1144.000000,1086.819946,1114.239990,1114.239990,0
2010-05-10,1164.150024,1173.520020,1160.040039,1173.520020,1173.520020,0
2010-05-11,1158.530029,1189.020020,1156.430054,1171.060059,1171.060059,0
2010-05-12,1178.390015,1200.119995,1175.760010,1199.229980,1199.229980,0
2010-05-13,1193.670044,1206.469971,1174.469971,1177.930054,1177.930054,0
2010-05-14,1163.949951,1164.250000,1131.380005,1148.550049,1148.550049,0
2010-05-17,1148.959961,1158.150024,1127.290039,1155.569946,1155.569946,0
2010-05-18,1166.900024,1167.650024,1129.910034,1135.479980,1135.479980,0
2010-05-19,1131.239990,1145.640015,1114.459961,1130.819946,1130.819946,0
2010-05-20,1104.680054,1114.650024,1084.369995,1090.770020,1090.770020,0
2010-05-21,1074.660034,1119.560059,1071.170044,1109.310059,1109.310059,0
2010-05-24,1101.439941,1114.089966,1095.099976,1096.010010,1096.010010,0
2010-05-25,1065.280029,1094.959961,1055.989990,1094.290039,1094.290039,0
2010-05-26,1103.630005,1118.930054,1084.199951,1085.930054,1085.930054,0
2010-05-27,1114.239990,1136.109985,1112.359985,1135.859985,1135.859985,0
2010-05-28,1133.170044,1134.959961,1113.939941,1125.400024,1125.400024,0
2010-06-01,1118.270020,1139.050049,1105.609985,1106.880005,1106.880005,0
2010-06-02,1111.099976,1138.290039,1104.510010,1138.280029,1138.280029,0
2010-06-03,1140.219971,1157.430054,1137.359985,1155.030029,1155.030029,0
2010-06-04,1130.439941,1146.500000,1107.390015,1111.790039,1111.790039,0
2010-06-07,1115.060059,1121.359985,1079.979980,1082.339966,1082.339966,0
2010-06-08,1083.000000,1086.359985,1062.569946,1081.660034,1081.660034,0
2010-06-09,1089.449951,1106.719971,1070.530029,1073.920044,1073.920044,0
2010-06-10,1090.550049,1108.310059,1088.329956,1107.469971,1107.469971,0
2010-06-11,1095.670044,1120.349976,1094.650024,1119.069946,1119.069946,0
2010-06-14,1131.060059,1140.380005,1118.910034,1120.160034,1120.160034,0
2010-06-15,1127.459961,1164.339966,1127.380005,1162.709961,1162.709961,0
2010-06-16,1156.900024,1171.459961,1152.140015,1164.520020,1164.520020,0
2010-06-17,1170.790039,1171.530029,1153.239990,1167.790039,1167.790039,0
2010-06-18,1167.270020,1175.729980,1163.390015,1167.550049,1167.550049,0
2010-06-21,1184.780029,1184.800049,1149.790039,1157.050049,1157.050049,0
2010-06-22,1163.050049,1171.079956,1139.089966,1140.920044,1140.920044,0
2010-06-23,1143.359985,1150.859985,1128.089966,1139.349976,1139.349976,0
2010-06-24,1135.020020,1135.020020,1108.050049,1112.239990,1112.239990,0
2010-06-25,1114.229980,1120.170044,1098.890015,1110.609985,1110.609985,0
2010-06-28,1113.430054,1122.170044,1102.000000,1109.780029,1109.780029,0
2010-06-29,1088.689941,1090.040039,1056.239990,1063.369995,1063.369995,0
2010-06-30,1062.180054,1074.050049,1047.939941,1050.119995,1050.119995,0
2010-07-01,1050.989990,1059.260010,1028.560059,1051.660034,1051.660034,0
2010-07-02,1052.939941,1055.079956,1036.569946,1047.449951,1047.449951,0
